sentence,label
Allianz Global Investors supports the Sustainable Development Goals ( SDGs ) ( SDGs ) * Integrated ESG is not considered sustainable according to EU Sustainable Finance Disclosure Regulation .,0
"the trust its customers , investors , employees and the public place in its performance and integrity depends on the personal conduct and capability of the management and employees of ALLIANZ GROUP and the management and employees of Allianz desire to jointly create value for all stakeholders .",0
MSCI ESG Research oversees the implementation and management of the most fundamental transformation of our bank for 20 years .,0
Deutsche Bank is geographically diversified and generates revenue in all the major regions of the globe .,0
"Corporate Responsibility Report 2011 marks the first cycle to use Advanced Level reporting , which means the Group have chosen to go beyond the minimum reporting requirements and report on sustainability , corporate governance and relevant management processes .",0
"114In China , Deutsche Post DHL Group have partnered with a m anufacturer of electric vehicles to test vehicles of various sizes , from small cars and vans to trucks .",0
"Deutsche Post strive to maintain close contact with Deutsche Post stakeholders , making sure to keep our stakeholders informed about Deutsche Post performance and initia tives in the area of corporate responsibility .",0
"Across all markets , HelloFresh has installed systems to measure and reduce transport packaging .",0
"THIS REPORT , from page 12NON FINANCIAL REPORT 12CORPORATE RESPONSIBILITY REPORT 2018 Deutsche Post DHL Group BUSINESS & PRODUCTS Deutsche Post DHL Group is a listed company ; Deutsche Post DHL Group Group headquarters are in Bonn , Germany .",0
The description of the business model of Deutsche Bank Group according to § § 315c ( 1 ) in connection with 289c ( 1 ) HGB is part of the separate non financial Group report .,0
the company are also striving to further reduce emissions in the company medium range van operations .,1
"Deutsche Post DHL Group C ertified initiative , which Deutsche Post DHL Group will use to turn Deutsche Post DHL Group global workforce into certified experts and specialists , plays a k ey role and 2016 m arks a d ecisive phase in i ts i m plementation .",0
"Deutsche Post AG generate little to no waste from the maintenance of Deutsche Post AG vehicle and aircraft fleets , since the maintenance of our vehicle and aircraft fleets has been largely outsourced to manufacturers or third party maintenance service providers .",0
"Within reasonable limits , The chairman of the Superviso -ry Board is prepared to talk to inves -tors about issues specific to the Executive Board .",0
"Post & Parcel Germany will step up both the accident analysis process and preventive mea- sures , and will expand training in this area .",1
Production and sales in the divisions of the Executive Board and in the Rubber Group are organized across regions .,0
WOMEN IN MANAGEMENTWe have achieved group wide gender parity across ALLIANZ GROUP workforce and ALLIANZ GROUP aim to increase the number of women in management positions and take appropriate steps to support future female leaders .,1
"Continental AG view temporary employment as an option for increasing flexibility , to cover peaks in demand for example .",0
OUR utilize a variety of communications channels to make staff more aware of occupational safety concerns .,0
"For further details on BRENNTAG SE accounting policies regarding BRENNTAG SE consolidated net turnover , cf . page 164 of our Annual Report 2021 2021.With regard to the numerator , BRENNTAG SE have not identified any Taxonomy - eligible activities , as explained above .",0
"several different industry led initiatives include the Green Freight Europe ( GFE ) and Green Freight Asia ( GFA ) , both of which Deutsche Post DHL Group is a founding member .",0
"Shareholder structure as at Dec. 31 , 2018 20.5 % KfW Bankengruppe 79.5 % Free float 66.8 % Institutional investors 12.7 % Private investors 19 MULTI YEAR OVERVIEW EMPLOYEES RESILIENCE & INTEGRITY SOCIETY ENVIRONMENTTHE the Supervisory Board the Supervisory Board advises and oversees Deutsche Post DHL Group , and appoints members to Deutsche Post DHL Group .",0
"T o do ensure , Deutsche Post DHL Group must continue to strengthen the engagement and motivation of Deutsche Post DHL Group employees and empower Deutsche Post DHL Group executives and managers to interact with our executives and managers teams openly , appropriately and responsibly .",1
"Our compliance organization is structured in a divisional and regional manner , while our Sustainability Board and Sustainability Office is organized regionally and along the value chain .",0
OUR respond to violations in a systematic and thorough manner and take appropriate measures for proper clarification .,1
Continental AG hope that three workshops at German locations will help Continental AG achieve Continental AG over all HR objective of becoming one of the most attractive and progressive employers by 2030 .,0
